Horodate;P Soutiree (kW)
06.01.2024 00:50;134976
06.01.2024 01:00;135280
06.01.2024 01:10;135773
06.01.2024 01:20;134442
06.01.2024 01:30;134085
06.01.2024 01:40;135546
06.01.2024 01:50;133784
06.01.2024 02:00;135864
06.01.2024 02:10;132698
06.01.2024 02:20;136796
06.01.2024 02:30;135961
06.01.2024 02:40;135636
06.01.2024 02:50;136726
06.01.2024 03:00;137750
06.01.2024 03:10;136774
06.01.2024 03:20;132491
06.01.2024 03:30;133333
06.01.2024 03:40;134315
06.01.2024 03:50;135291
06.01.2024 04:00;136028
06.01.2024 04:10;134163
06.01.2024 04:20;135532
06.01.2024 04:30;134119
06.01.2024 04:40;134335
06.01.2024 04:50;133142
06.01.2024 05:00;133867
06.01.2024 05:10;134958
06.01.2024 05:20;137256
06.01.2024 05:30;142034
06.01.2024 05:40;140764
06.01.2024 05:50;147871
06.01.2024 06:00;146396
06.01.2024 06:10;147667
06.01.2024 06:20;147836
06.01.2024 06:30;151908
06.01.2024 06:40;151729
06.01.2024 06:50;154509
06.01.2024 07:00;159900
06.01.2024 07:10;157072
06.01.2024 07:20;160096
06.01.2024 07:30;158473
06.01.2024 07:40;160632
06.01.2024 07:50;164496
06.01.2024 08:00;162056
06.01.2024 08:10;166871
06.01.2024 08:20;166370
06.01.2024 08:30;165620
06.01.2024 08:40;168569
06.01.2024 08:50;170235
06.01.2024 09:00;170865
06.01.2024 09:10;167577
06.01.2024 09:20;168841
06.01.2024 09:30;169561
06.01.2024 09:40;169820
06.01.2024 09:50;170863
06.01.2024 10:00;170199
06.01.2024 10:10;167929
06.01.2024 10:20;170502
06.01.2024 10:30;170848
06.01.2024 10:40;170772
06.01.2024 10:50;171553
06.01.2024 11:00;171183
06.01.2024 11:10;170621
06.01.2024 11:20;169827
06.01.2024 11:30;167441
06.01.2024 11:40;170576
06.01.2024 11:50;170244
06.01.2024 12:00;163403
06.01.2024 12:10;161081
06.01.2024 12:20;161374
06.01.2024 12:30;164576
06.01.2024 12:40;162937
06.01.2024 12:50;164018
06.01.2024 13:00;168240
06.01.2024 13:10;168243
06.01.2024 13:20;169605
06.01.2024 13:30;167424
06.01.2024 13:40;168342
06.01.2024 13:50;167505
06.01.2024 14:00;167546
06.01.2024 14:10;167734
06.01.2024 14:20;168531
06.01.2024 14:30;167480
06.01.2024 14:40;170082
06.01.2024 14:50;166856
06.01.2024 15:00;167918
06.01.2024 15:10;167538
06.01.2024 15:20;170368
06.01.2024 15:30;168493
06.01.2024 15:40;169746
06.01.2024 15:50;165970
06.01.2024 16:00;168599
06.01.2024 16:10;169532
06.01.2024 16:20;168321
06.01.2024 16:30;169796
06.01.2024 16:40;167422
06.01.2024 16:50;170312
06.01.2024 17:00;168178
06.01.2024 17:10;164186
06.01.2024 17:20;164062
06.01.2024 17:30;166910
06.01.2024 17:40;167099
06.01.2024 17:50;163946
06.01.2024 18:00;164100
06.01.2024 18:10;164307
06.01.2024 18:20;162713
06.01.2024 18:30;163352
06.01.2024 18:40;163224
06.01.2024 18:50;163578
06.01.2024 19:00;152540
06.01.2024 19:10;152943
06.01.2024 19:20;154918
06.01.2024 19:30;151094
06.01.2024 19:40;154068
06.01.2024 19:50;152271
06.01.2024 20:00;152518
06.01.2024 20:10;153604
06.01.2024 20:20;150908
06.01.2024 20:30;153166
06.01.2024 20:40;152842
06.01.2024 20:50;153331
06.01.2024 21:00;142622
06.01.2024 21:10;145871
06.01.2024 21:20;141231
06.01.2024 21:30;141392
06.01.2024 21:40;141253
06.01.2024 21:50;141355
06.01.2024 22:00;141232
06.01.2024 22:10;143972
06.01.2024 22:20;144319
06.01.2024 22:30;141332
06.01.2024 22:40;140939
06.01.2024 22:50;142895
06.01.2024 23:00;141360
06.01.2024 23:10;143137
06.01.2024 23:20;142492
06.01.2024 23:30;139914
06.01.2024 23:40;144509
06.01.2024 23:50;144882
07.01.2024 00:00;134333
07.01.2024 00:10;134670
07.01.2024 00:20;135681
07.01.2024 00:30;135754
07.01.2024 00:40;136240
07.01.2024 00:50;138267
07.01.2024 01:00;134987
07.01.2024 01:10;134055
07.01.2024 01:20;133183
07.01.2024 01:30;134156
07.01.2024 01:40;135202
07.01.2024 01:50;137944
07.01.2024 02:00;134476
07.01.2024 02:10;135588
07.01.2024 02:20;135227
07.01.2024 02:30;137035
07.01.2024 02:40;139042
07.01.2024 02:50;134456
07.01.2024 03:00;134518
07.01.2024 03:10;136818
07.01.2024 03:20;136275
07.01.2024 03:30;138022
07.01.2024 03:40;136128
07.01.2024 03:50;134713
07.01.2024 04:00;136138
07.01.2024 04:10;136915
07.01.2024 04:20;136483
07.01.2024 04:30;136013
07.01.2024 04:40;136852
07.01.2024 04:50;137006
07.01.2024 05:00;137325
07.01.2024 05:10;137959
07.01.2024 05:20;138469
07.01.2024 05:30;140674
07.01.2024 05:40;143998
07.01.2024 05:50;142697
07.01.2024 06:00;146209
07.01.2024 06:10;146800
07.01.2024 06:20;149167
07.01.2024 06:30;152776
07.01.2024 06:40;152879
07.01.2024 06:50;154396
07.01.2024 07:00;154020
07.01.2024 07:10;158335
07.01.2024 07:20;159340
07.01.2024 07:30;162773
07.01.2024 07:40;160222
07.01.2024 07:50;162169
07.01.2024 08:00;163370
07.01.2024 08:10;166518
07.01.2024 08:20;165165
07.01.2024 08:30;166883
07.01.2024 08:40;168532
07.01.2024 08:50;169056
07.01.2024 09:00;169262
07.01.2024 09:10;170223
07.01.2024 09:20;171542
07.01.2024 09:30;168392
07.01.2024 09:40;170131
07.01.2024 09:50;168882
07.01.2024 10:00;171725
07.01.2024 10:10;167647
07.01.2024 10:20;169094
07.01.2024 10:30;170498
07.01.2024 10:40;172280
07.01.2024 10:50;169833
07.01.2024 11:00;169099
07.01.2024 11:10;172754
07.01.2024 11:20;167760
07.01.2024 11:30;166634
07.01.2024 11:40;170592
07.01.2024 11:50;169179
07.01.2024 12:00;161464
07.01.2024 12:10;164059
07.01.2024 12:20;163362
07.01.2024 12:30;162150
07.01.2024 12:40;161076
07.01.2024 12:50;164305
07.01.2024 13:00;169173
07.01.2024 13:10;168049
07.01.2024 13:20;170968
07.01.2024 13:30;166593
07.01.2024 13:40;165910
07.01.2024 13:50;167160
07.01.2024 14:00;168130
07.01.2024 14:10;168563
07.01.2024 14:20;167836
07.01.2024 14:30;168726
07.01.2024 14:40;166321
07.01.2024 14:50;170364
07.01.2024 15:00;168075
07.01.2024 15:10;169874
07.01.2024 15:20;168712
07.01.2024 15:30;168883
07.01.2024 15:40;169053
07.01.2024 15:50;168870
07.01.2024 16:00;169162
07.01.2024 16:10;170192
07.01.2024 16:20;168493
07.01.2024 16:30;169262
07.01.2024 16:40;168063
07.01.2024 16:50;170358
07.01.2024 17:00;163715
07.01.2024 17:10;167431
07.01.2024 17:20;164670
07.01.2024 17:30;162584
07.01.2024 17:40;164922
07.01.2024 17:50;163708
07.01.2024 18:00;165991
07.01.2024 18:10;163751
07.01.2024 18:20;164061
07.01.2024 18:30;161896
07.01.2024 18:40;164052
07.01.2024 18:50;161094
07.01.2024 19:00;150216
07.01.2024 19:10;153733
07.01.2024 19:20;153771
07.01.2024 19:30;153230
07.01.2024 19:40;151142
07.01.2024 19:50;152520
07.01.2024 20:00;152587
07.01.2024 20:10;150854
07.01.2024 20:20;154847
07.01.2024 20:30;153908
07.01.2024 20:40;152261
07.01.2024 20:50;152632
07.01.2024 21:00;142501
07.01.2024 21:10;139125
07.01.2024 21:20;141817
07.01.2024 21:30;141165
07.01.2024 21:40;140686
07.01.2024 21:50;141766
07.01.2024 22:00;144885
